meitou;Meitou;Meitou;Meitou;;Meitou;;;;;;;;;x
meitou_desc;You have been given your father's famous sword;Vous avez reçu la fameuse épée de votre père.;Ihr habt das berühmte Schwert Eures Vaters erhalten.;;Te han entregado la famosa espada de tu padre;;;;;;;;;x
nightingale_floor;Nightingale Floor;Plancher rossignol;Nachtigallenboden;;Suelo de ruiseñor;;;;;;;;;x
nightingale_floor_desc;The chirping sound of feet upon nightingale floor makes sure no one can sneak through undetected;Le sifflement de mon plancher rossignol empêche quiconque de se faufiler sans se faire remarquer.;Das zirpende Geräusch von Fußtritten auf einem Nachtigallenboden sorgt dafür, dass sich niemand unentdeckt einschleichen kann.;;El gorjeante sonido de pies sobre el suelo de ruiseñor impide que nadie pueda pisarlo sin ser detectado.;;;;;;;;;x
climb_mountfuji;Climber of Mount Fuji;Grimpeur du mont Fuji;Besteiger des Fuji;;Escalador del monte Fuji;;;;;;;;;x
climb_mountfuji_desc;You spare no expense when attempting to climb Mount Fuji;Vous dépensez sans compter pour tenter de grimper le mont Fuji.;Für Euren Versuch, den Fuji zu besteigen, scheut Ihr keine Kosten.;;No reparas en gastos cuando intentas coronar el monte Fuji;;;;;;;;;x
no_garden;No Garden;Pas de jardin;Kein Garten;;Sin jardín;;;;;;;;;x
no_garden_desc;You save money but lose honor;Vous économisez de l’argent, mais perdez de l’honneur.;Ihr spart Geld, aber verliert an Ehre.;;Ahorras dinero pero pierdes honor;;;;;;;;;x
chaniwa_garden;The Chaniwa Garden;Jardin chaniwa;Der Chaniwa-Garten;;El jardín Chaniwa;;;;;;;;;x
chaniwa_garden_desc;The Chaniwa Garden, with its tea house, is perfect for entertaining guests;Le jardin chaniwa, avec sa maison de thé, est parfait pour accueillir des hôtes.;Der Chaniwa-Garten ist dank seines Teehauses perfekt zur Unterhaltung seiner Gäste geeignet.;;El jardín Chaniwa, con su casa de té, es perfecto para atender a invitados.;;;;;;;;;x
tsukiyama_sensei;The Tsukiyama Garden;Jardin tsukiyama;Der Tsukiyama-Garten;;El jardínTsukiyama;;;;;;;;;x
tsukiyama_sensei_desc;The hill in the Tsukiyama Garden is a beautiful and perfect vantage point;La colline du jardin tsukiyama est magnifique et bénéficie d’une position avantageuse.;Der Hügel im Tsukiyama-Garten ist wunderschön und ein perfekter Aussichtspunkt.;;La colina del jardín Tsukiyama es una hermosa y perfecta posición estratégica.;;;;;;;;;x
karesansui_garden;The Karesansui Garden;Jardin karesansui;Der Karesansui-Garten;;El jardín Karesansui;;;;;;;;;x
karesansui_garden_desc;The rock garden is a peaceful place for meditation;Le jardin de roche est propice à la méditation.;Der Steingarten ist ein friedlicher Ort zum Meditieren.;;El jardín de roca es un lugar tranquilo para meditar.;;;;;;;;;x
the_confused;The Confused;Confus;Der Verwirrte;;El confuso;;;;;;;;;x
the_confused_desc;Your confusion shows no bounds.;Votre confusion ne connaît aucune limite.;Eure Verwirrtheit kennt keine Grenzen.;;Tu confusión no tiene límites.;;;;;;;;;x
the_wroth;The Wroth;En colère;Der Zornige;;El colérico;;;;;;;;;x
the_wroth_desc;Your wroth controls you.;Votre colère vous contrôle.;Eure Geschicke werden von Eurem unbändigen Hass gelenkt.;;Tu cólera te controla.;;;;;;;;;x
ninja_spy;Imprisoned Ninja;Ninja emprisonné;Eingekerkerter Ninja;;Ninja apresado;;;;;;;;;x
ninja_spy_desc;A ninja has been imprisoned by you.;Vous avez emprisonné un ninja.;Ihr habt einen Ninja eingekerkert.;;Un ninja ha sido apresado por ti.;;;;;;;;;x
the_oblivious;The Oblivious;Inconscient;Der Vergessliche;;El abstraído;;;;;;;;;x
the_oblivious_desc;The Oblivious chooses to ignore the world around him and lives in his own world.;L’inconscient choisit d’ignorer ce qui l’entoure pour vivre dans son propre monde.;Der Vergessliche ignoriert seine Umwelt und lebt in seinem eigenen Universum.;;El abstraído elige hacer caso omiso del mundo a su alrededor y vive en su propio mundo.;;;;;;;;;x
the_collector;The Collector;Collectionneur;Der Sammler;;El coleccionista;;;;;;;;;x
the_collector_desc;The collector of fine things.;Collectionneur de jolies choses;Der Sammler schöner Dinge.;;El coleccionista de cosas bonitas.;;;;;;;;;x
appreciator_tea;Appreciator of tea;Amateur de thé;Der Teekenner;;Aficionado al té;;;;;;;;;x
appreciator_tea_desc;A true connoisseur of tea.;Fin connaisseur de thé;Ein wahrer Tee-Connaisseur.;;Un auténtico conocedor del té.;;;;;;;;;x
the_scared_one;The Scared One;Apeuré;Der Verängstigte;;El asustado;;;;;;;;;x
the_scared_one_desc;A warrior should not go through life scared, yet you do.;Un guerrier ne doit pas vivre dans la peur ; c’est pourtant votre cas.;Ein Krieger sollte nicht ängstlich durchs Leben gehen. Ihr seid trotzdem ein Hasenfuß.;;Un guerrero no debería ir por la vida asustado, pero tú lo haces.;;;;;;;;;x
the_blessed;The Blessed;Béni;Der Gesegnete;;El bendecido;;;;;;;;;x
the_blessed_desc;Blessed by the Kami;Béni des kamis;Gesegnet von den Kami;;Bendecido por el Kami;;;;;;;;;x
the_devout;The Devouted Shintoist;Fervent shintoïste;Der Ergebene Shintoist;;El sintoísta devoto;;;;;;;;;x
the_devout_desc;Your devoution to the Shinto religion is pure.;Votre dévotion à la religion shintoïste est pure.;Ihr seid durch und durch ein ergebener Anhänger des Shintoismus.;;Tu devoción hacia la religión sintoísta es pura.;;;;;;;;;x
the_uchigatana;The Uchigatana;Uchigatana;Das Uchigatana;;El Uchigatana;;;;;;;;;x
the_uchigatana_desc;The Uchigatana is a favored weapon by the samurai.;L’uchigatana est l’arme préférée du samouraï.;Das Uchigatana ist eine bevorzugte Waffe der Samurai.;;El Uchigatana es un arma favorita de los samuráis.;;;;;;;;;x
the_obsessed;The Obsessed;;;;;;;;;;;;;x;
the_obsessed_desc;;;;;;;;;;;;;;x;
the_ignorant;The Ignorant;Ignorant;Der Ignorant;;El ignorante;;;;;;;;;x
the_ignorant_desc;The Ignorant might be perceived as strong but the truth is that he will lose in the long run.;L’ignorant peut être perçu comme fort, mais finit par perdre sur le long terme.;Der Ignorant mag zwar als stark wahrgenommen werden, aber in Wahrheit ist er langfristig gesehen der Verlierer.;;El ignorante podría ser visto como fuerte, pero lo cierto es que acabará perdiendo al final.;;;;;;;;;x
yabusame_samurai;Yabusame - mounted Archers;;;;;;;;;;;;;x;
yabusame_samurai_desc;The mounted archery called Yabusame is an honorable practice.;;;;;;;;;;;;;x;
the_indolent;The Indolent;Indolent;Der Träge;;El indolente;;;;;;;;;x
the_indolent_desc;The Indolent is a lazy and slothful person;L’indolent est un paresseux doublé d’un fainéant.;Der Träge ist ein überaus fauler Mensch.;;El indolente es una persona perezosa;;;;;;;;;x
the_bakeneko;The Bakeneko;Bakeneko;Der Bakeneko;;El bakeneko;;;;;;;;;x
the_bakeneko_desc;A bakeneko haunts your household but also keeps the enemies away.;Un bakeneko hante votre maison, mais repousse également l’ennemi.;Ein Bakeneko spukt in Eurem Haushalt herum, hält aber auch Feinde auf Distanz.;;Un bakeneko ronda por tu hogar pero también mantiene lejos a los enemigos.;;;;;;;;;x
the_jaundiced;The Jaundiced;Aigri;Der Eifersüchtige;;El envidioso;;;;;;;;;x
the_jaundiced_desc;The Jaundiced are unwilling to share the good thing in life with other people.;Les aigris refusent de partager les bonnes choses de la vie avec les autres.;Die Eifersüchtigen sind nicht bereit, gute Dinge im Leben mit anderen Menschen zu teilen.;;Los envidiosos no están dispuestos a compartir lo bueno de la vida con otros.;;;;;;;;;x
the_connoisseur;The Connoisseur;Connaisseur;Der Connaisseur;;El conocedor;;;;;;;;;x
the_connoisseur_desc;A connoisseur has a great taste for the fine arts and good things in life.;Un connaisseur s’intéresse aux beaux-arts ainsi qu’aux bonnes choses de la vie.;Ein Connaisseur hat einen großartigen Geschmack für die feinen Künste und schönen Dinge des Lebens.;;Un conocedor tiene buen gusto por las artes y lo bueno de la vida.;;;;;;;;;x
the_boastful;The Boastful;Fanfaron;Der Prahlerische;;El jactancioso;;;;;;;;;x
the_boastful_desc;Bragging about his accomplishments, the Boastful can be rather irritating.;Le fanfaron se vante de ses exploits et peut agacer.;Der Prahlerische kann einem mit seiner Angeberei ganz schön auf die Nerven gehen.;;Al alardear de sus logros, el jactancioso puede ser bastante irritante.;;;;;;;;;x
blue_mawashi;Sumo in Blue Mawashi;Sumo du mawashi bleu;Sumo im blauen Mawashi;;Sumotori de mawashi azul;;;;;;;;;x
blue_mawashi_desc;The sumo in the blue mawashi won!;Le sumo du mawashi bleu a gagné !;Der Sumo im blauen Mawashi hat gewonnen!;;¡El sumotori de mawashi azul gana!;;;;;;;;;x
red_mawashi;The sumo in the red mawashi won!;Le sumo du mawashi rouge a gagné !;Der Sumo im roten Mawashi hat gewonnen!;;¡El sumotori de mawashi rojo gana!;;;;;;;;;x
red_mawashi_desc;Sumo in Red Mawashi;Sumo du mawashi rouge;Sumo im roten Mawashi;;Sumotori de mawashi rojo;;;;;;;;;x
aspiring_go_player;Aspiring Go player;Aspirant joueur de go.;Ehrgeiziger Go-Spieler!;;Aspirante a jugador del Go;;;;;;;;;x
aspiring_go_player_desc;I am an aspiring Go player;Je suis un aspirant joueur de go.;Ich bin ein ehrgeiziger Go-Spieler!;;Soy un aspirante a jugador del Go;;;;;;;;;x
aspiring_calligraphist;Aspiring Calligraphist;Aspirant calligraphe;Ehrgeiziger Kalligraph!;;Aspirante caligrafo;;;;;;;;;x
aspiring_calligraphist_desc;I am an aspiring Calligraphist;Je suis un aspirant calligraphe.;Ich bin ein ehrgeiziger Kalligraph!;;Soy un aspirante a caligrafo;;;;;;;;;x
novice_poet;Novice Poet;Poète novice;Unerfahrener Dichter;;Poeta novato;;;;;;;;;x
novice_poet_desc;I am a novice poet;Je suis un poète novice;Ich bin ein unerfahrener Dichter!;;Soy un poeta novato;;;;;;;;;x
aspiring_musician;Aspiring Musician;Aspirant musicien;Ehrgeiziger Musiker;;Aspirante a músico;;;;;;;;;x
aspiring_musician_desc;I am an aspiring musician;Je suis un aspirant musicien.;Ich bin ein ehrgeiziger Musiker.;;Soy un aspirante a músico;;;;;;;;;x
